,product_title,product_price,product_img_url,product_rating,product_rating_count
105,Nudie Jeans Men's Tape Ted Slim Fit Jean In Black and Blue Love,$132.81,https://m.media-amazon.com/images/I/71+BfVTkwLL._AC_UL400_.jpg,N/A,N/A
106,Sidefeel Women Patchwork Destroyed Raw Hem Jeans Ripped Hole Denim Pants,$35.99,https://m.media-amazon.com/images/I/71vMliyL6hL._AC_UL400_.jpg,3.9,"4,929"
107,One Teaspoon Women's Scallywags Jeans,$144.75,https://m.media-amazon.com/images/I/41xP4z6ycgL._AC_UL400_.jpg,5.0,2
108,Amazon Essentials Men's Athletic-Fit Stretch Jean,N/A,https://m.media-amazon.com/images/I/91MZMCGta6S._AC_UL400_.jpg,4.3,"17,737"
109,YOYEAH Men's Regular Fit Jean Loose Relaxed Straight Leg Jeans,$59.99,https://m.media-amazon.com/images/I/61YCiC-HfIL._AC_UL400_.jpg,4.1,150
110,Amazon Essentials Men's Slim-Fit Stretch Jean,$28.44,https://m.media-amazon.com/images/I/81x9J2yotGL._AC_UL400_.jpg,4.3,"30,422"
111,IZOD Men's Jeans - Comfort Stretch Denim Straight Leg Relaxed Fit Jeans for Men,$29.99,https://m.media-amazon.com/images/I/51LBKhCP0+L._AC_UL400_.jpg,4.2,129
112,Wrangler Boys' 20x Extreme Relaxed Straight Jean,$24.97,https://m.media-amazon.com/images/I/91OT7P7ptwL._AC_UL400_.jpg,4.4,106
113,"CQR Men's Ripstop Work Pants, Water Resistant Tactical Pants, Outdoor Utility Operator EDC Straight/Cargo Pants",$59.99,https://m.media-amazon.com/images/I/613dCFvkUJL._AC_UL400_.jpg,4.4,"5,360"
114,Sidefeel Women Ripped Flare Jeans Mid Rise Fitted Denim Pants,$37.99,https://m.media-amazon.com/images/I/61A+weYSr1L._AC_UL400_.jpg,3.8,"5,948"
115,roswear Womens High Waisted Skinny Stretch Butt Lifting Jeans,$37.99,https://m.media-amazon.com/images/I/71NmA84ODwL._AC_UL400_.jpg,3.8,"2,491"
116,Lee Little Boys' Contractor Jeans,$19.33,https://m.media-amazon.com/images/I/51m-AU91wcL._AC_UL400_.jpg,3.6,18
117,Noppies Women's Maternity Jeans OTB Reg Ann,$129.99,https://m.media-amazon.com/images/I/81Isl0RIydL._AC_UL400_.jpg,2.5,3
118,JANTTAWEAR New Regular Straight Men Jeans Denim Ripped Elastic Jeans.,$25.99,https://m.media-amazon.com/images/I/51ktyiGfJ9L._AC_UL400_.jpg,4.5,6
119,YOYEAH Men's Fashion Big Loose Relaxed Straight-Leg Jeans,$61.99,https://m.media-amazon.com/images/I/61YCiC-HfIL._AC_UL400_.jpg,4.1,319
120,FALABELLA Men's Signature Stretch Skinny-fit Jeans - Denim Pants Essential Clothing W One Button Clossing Style,$38.00,https://m.media-amazon.com/images/I/71JO-s+LevL._AC_UL400_.jpg,4.4,22
121,AITITIA Men's Ripped Regular Fit Jeans,$32.98,https://m.media-amazon.com/images/I/714G0v4-aQL._AC_UL400_.jpg,4.2,"3,291"
122,OFLUCK Women Stretch Ripped High Waisted Jeans Frayed Raw Hem Distressed Denim Pants with Hole,$39.99,https://m.media-amazon.com/images/I/71+aRxIph+S._AC_UL400_.jpg,4.1,"1,088"
123,QBK 2T/3T/4T/5T Toddler Baseball Pants Youth Softball Pants Kids Tee Ball Pants for Boy Girl,$29.99,https://m.media-amazon.com/images/I/61Se+lCk5TL._AC_UL400_.jpg,4.7,292
124,Noppies Women's Maternity Jeans OTB Slim Gunn,$135.09,https://m.media-amazon.com/images/I/61iRDpLK-VL._AC_UL400_.jpg,N/A,N/A
125,"[blanknyc] Men's In The Face Slim Fit Jeans, charcoal, 34",$44.06,https://m.media-amazon.com/images/I/81jglBrdG4S._AC_UL400_.jpg,N/A,N/A
126,Men's Skinny Jeans Stretch Ripped Tapered Leg,$33.99,https://m.media-amazon.com/images/I/51d86Ji4uJL._AC_UL400_.jpg,4.4,"4,698"
127,Noppies Women's Maternity Jeans OTB Skinny Avi,$107.78,https://m.media-amazon.com/images/I/61gGy3XhhdL._AC_UL400_.jpg,N/A,N/A
128,Noppies Women's Maternity Jeans OTB Slim Leah,$107.44,https://m.media-amazon.com/images/I/71z+y56f+8L._AC_UL400_.jpg,3.0,6
129,Smith's Workwear Men's Stretch Relaxed Fit Carpenter Jean,$23.99,https://m.media-amazon.com/images/I/91zLkOm2XjL._AC_UL400_.jpg,4.3,267
130,Maternal America Women's Skinny Maternity Jeans,$26.60,https://m.media-amazon.com/images/I/81wpHK26vqL._AC_UL400_.jpg,2.9,8
131,Maternal America Women's Skinny Ankle Maternity Jeans,$59.14,https://m.media-amazon.com/images/I/81lInDHqTsL._AC_UL400_.jpg,2.9,31
132,Hybrid Women's Butt Lift Super Comfy Stretch Denim Skinny Yoga Jeans,$30.99,https://m.media-amazon.com/images/I/71lMhtxN8DL._AC_UL400_.jpg,4.1,"11,406"
133,GINGTTO Mens Skinny Jeans Stretch Denim Stylish Jeans for Men,$31.99,https://m.media-amazon.com/images/I/61uqbB9-vCL._AC_UL400_.jpg,4.4,930
134,WULFUL Men's Slim Fit Skinny Stretch Comfy Denim Jeans Pants,$29.99,https://m.media-amazon.com/images/I/61bMI38WAwL._AC_UL400_.jpg,4.3,"6,334"
135,QBK 2T-13Years Girls' Softball Pants Kids' Youth Boys' Baseball Practice Pant Toddler tee Ball Pants,$29.99,https://m.media-amazon.com/images/I/51d6viweTfL._AC_UL400_.jpg,4.1,37
136,QBK 2T/3T/4T/5T/6T/7T Toddler Boy's Knicker Baseball Pants with Side Piping/Braid,$27.99,https://m.media-amazon.com/images/I/510xjGAm4RL._AC_UL400_.jpg,4.3,24
137,HUNGSON Men Skinny Slim Fit Casual Jeans Dyeing Stretch Straight Fashion Denim Pants,$35.99,https://m.media-amazon.com/images/I/51jlWkmkhwL._AC_UL400_.jpg,4.2,116
138,Izod Men's Comfort Stretch Denim Jeans,$48.61,https://m.media-amazon.com/images/I/81kqGAvuEXL._AC_UL400_.jpg,4.5,"5,077"
139,IZOD Men's Jeans - Comfort Stretch Denim Straight Leg Relaxed Fit Jeans for Men,$23.00,https://m.media-amazon.com/images/I/71a6kJqHYEL._AC_UL400_.jpg,4.3,480
140,Baseball USA Flag American Flag Vintage T-Shirt,$22.95,https://m.media-amazon.com/images/I/71xvxQwUE4L._AC_UL400_.jpg,4.5,24
141,Kenneth Cole Mens Jeans Slim Fit and Athletic Fit - Mens Stretch Jeans - 5-Pocket Jeans for Men,$89.99,https://m.media-amazon.com/images/I/61dkpd0TQSL._AC_UL400_.jpg,4.4,91
142,DANT BULUN Men's Ripped Distressed Destroyed Slim Fit Straight Leg Denim Jeans,$32.99,https://m.media-amazon.com/images/I/91z6WzsbjEL._AC_UL400_.jpg,4.0,"5,656"
